[2015-07-27 20:31:44.805]  -------(1)--------
[2015-07-27 20:31:45.804]  -------(2)--------
[2015-07-27 20:31:46.804]  -------(3)--------
[2015-07-27 20:31:47.804]  -------(4)--------
[2015-07-27 20:31:48.804]  -------(5)--------
[2015-07-27 20:31:49.804]  -------(6)--------
[2015-07-27 20:31:50.804]  -------(7)--------
[2015-07-27 20:31:51.804]  -------(8)--------
[2015-07-27 20:31:52.804]  -------(9)--------
[2015-07-27 20:31:53.805]  -------(10)--------
[2015-07-27 20:31:54.806]  -------(11)--------
790A85CE 04 C6 06
790A85A0 04 CB 09
790A85A0 04 CF 09
790A85A0 04 C9 09
790A8256 04 C9 05
790A8256 04 CD 05
790A8256 04 C7 05
790A85B7 04 C6 06
790A85B7 04 C3 06
790A85B7 04 C8 06
790A856F 04 CD 0A
790A856F 04 D1 0A
790A856F 04 CA 0A
790A85FC 04 CA 09
790A85FC 04 C5 09
790A85FC 04 CD 09
790A855D 04 C5 03
790A855D 04 CA 03
790A855D 04 BB 03
790A8586 04 D1 0B
790A8586 04 CC 0B
790A8586 04 C2 0B
790A8273 04 CA 09
790A8273 04 CB 09
790A8273 04 C8 09
790A85A3 04 CE 06
790A85A3 04 CA 06
790A85A3 04 CA 06
790A826F 04 C7 0A
790A826F 04 C0 0A
790A826F 04 C6 0A
790A826A 04 CA 05
790A826A 04 CC 05
790A826A 04 BB 05
790A826D 04 CB 08
790A826D 04 CC 08
790A826D 04 C0 08
[2015-07-27 20:32:01.805]  -------(18)--------
790A8266 04 C8 08
790A8266 04 C9 08
790A8266 04 CC 08
790A85DF 04 CC 08
790A85DF 04 C1 08
790A85DF 04 CD 08
790A85D6 04 C9 07
790A85D6 04 CE 07
790A8248 04 BF 01
790A85D6 04 C9 07
790A8248 04 C4 01
790A8248 04 C2 01
790A85D1 04 D1 07
790A85D1 04 C8 07
790A85D1 04 CE 07
790A826B 04 C6 00
790A826B 04 CA 00
790A826B 04 C3 00
790A8267 04 BF 07
790A8267 04 CD 07
790A8267 04 D1 07
790A85CE 04 B9 07
790A85CE 04 C9 07
790A85CE 04 C9 07
790A85A0 04 CA 0A
790A85A0 04 CA 0A
790A85A0 04 C8 0A
790A8256 04 C3 06
790A8256 04 C0 06
790A8256 04 C5 06
790A856F 04 C9 0B
790A856F 04 BF 0B
790A856F 04 C6 0B
790A85B7 04 CA 07
790A85B7 04 C7 07
790A85B7 04 C9 07
790A85FC 04 C5 0A
790A85FC 04 CB 0A
790A85FC 04 C9 0A
790A855D 04 C8 04
790A855D 04 C2 04
790A855D 04 BB 04
790A8586 04 C5 00
790A8586 04 CC 00
790A8586 04 C8 00
790A8273 04 BD 0A
790A8273 04 C1 0A
790A8273 04 CD 0A
790A85A3 04 D1 07
790A85A3 04 C0 07
790A85A3 04 C8 07
790A826F 04 C6 0B
790A826F 04 BF 0B
790A826F 04 C2 0B
790A826A 04 CB 06
790A826A 04 C7 06
790A826A 04 C6 06
790A826D 04 C9 09
790A826D 04 C5 09
790A826D 04 C7 09
790A8266 04 C6 09
790A8266 04 C1 09
790A8266 04 CA 09
790A85DF 04 C5 09
790A85DF 04 CE 09
790A85DF 04 CF 09
790A85D6 04 C7 08
790A85D6 04 CE 08
790A85D6 04 C5 08
790A8248 04 CA 02
790A8248 04 C9 02
790A8248 04 CB 02
790A85D1 04 CD 08
790A85D1 04 C8 08
790A85D1 04 C4 08
790A826B 04 CD 01
790A826B 04 C2 01
790A826B 04 CA 01
790A8267 04 C9 08
790A8267 04 CE 08
790A8267 04 CE 08
790A85CE 04 C2 08
790A85CE 04 C6 08
790A85CE 04 BE 08
790A85A0 04 CD 0B
790A85A0 04 C4 0B
790A85A0 04 BE 0B
790A8256 04 CE 07
790A8256 04 BF 07
790A8256 04 C1 07
790A856F 04 C0 00
790A856F 04 CC 00
790A856F 04 CE 00
790A85B7 04 D0 08
790A85B7 04 CD 08
790A85B7 04 CB 08
790A85FC 04 C2 0B
790A85FC 04 CB 0B
790A85FC 04 BB 0B
790A855D 04 CA 05
790A855D 04 BB 05
790A855D 04 C2 05
790A8586 04 C6 01
790A8586 04 CC 01
790A8586 04 CA 01
790A8273 04 BD 0B
790A8273 04 CB 0B
790A8273 04 C7 0B
790A85A3 04 C6 08
790A85A3 04 CD 08
790A85A3 04 CB 08
790A826F 04 C2 00
790A826F 04 C1 00
790A826A 04 CE 07
790A826A 04 C0 07
790A826A 04 C5 07
790A826D 04 C9 0A
790A826D 04 CB 0A
790A826D 04 C3 0A
[2015-07-27 20:32:02.805]  -------(19)--------
790A8266 04 C1 0A
790A8266 04 BF 0A
790A8266 04 CA 0A
790A85DF 04 CB 0A
